unix,open,high,low,close
1526364000,8733.86,8796.68,8707.28,8740.99
1526367600,8740.99,8766,8721.11,8739
1526371200,8739,8750.27,8660.53,8728.49
1526374800,8728.49,8754.4,8701.35,8708.32
1526378400,8708.32,8865,8695.11,8795.9
1526382000,8795.9,8821.19,8740.54,8760
1526385600,8760,8798.6,8741.52,8760
1526389200,8760,8771.02,8700,8759.23
1526392800,8759.23,8761.7,8467.42,8517.77
1526396400,8517.77,8553.67,8477.89,8520.3
1526400000,8520.3,8589.1,8500.78,8535.23
1526403600,8535.23,8579.48,8500,8546.34
1526407200,8546.34,8555.51,8400,8526.65
1526410800,8526.65,8583.6,8451.05,8555.6
1526414400,8555.6,8569.92,8461.38,8512.1
1526418000,8512.1,8555.54,8481.24,8492.28
1526421600,8492.28,8557.51,8420.37,8460
1526425200,8460,8505,8450,8474.99
1526428800,8474.99,8505.33,8430.94,8455.92
1526432400,8455.92,8478.29,8275.02,8326.28
1526436000,8326.28,8339.81,8100.01,8133.43
1526439600,8133.43,8217.44,8122.56,8164.79
1526443200,8164.79,8252.72,8157.01,8229.38
1526446800,8229.38,8248.63,8166.25,8220.4
1526450400,8220.4,8267.12,8176.91,8238.8
1526454000,8238.8,8255,8213.79,8232.99
1526457600,8232.99,8261.24,8200,8207.48
1526461200,8207.48,8263.93,8207.48,8243.45
1526464800,8243.45,8455.66,8237.1,8371.13
1526468400,8371.13,8439.44,8370,8373
1526472000,8373,8399.1,8356.4,8365.08
1526475600,8365.08,8381.73,8145.1,8179.99
1526479200,8179.99,8229.91,8173.6,8225
1526482800,8225,8377.29,8211.8,8285.8
1526486400,8285.8,8329.1,8201,8273.4
1526490000,8273.4,8350,8250.9,8297.4
1526493600,8297.4,8346.95,8266.46,8279.89
1526497200,8279.89,8377.29,8252.72,8252.72
1526500800,8252.72,8311.35,8232.14,8302.18
1526504400,8302.18,8319.96,8268.37,8295.85
1526508000,8295.85,8398.24,8277.25,8277.25
1526511600,8277.25,8372.58,8277.25,8346.59
1526515200,8346.59,8399.99,8314.78,8358.3
1526518800,8358.3,8386.53,8314.77,8375.1
1526522400,8375.1,8400,8350.07,8368.62
1526526000,8368.62,8500,8331.39,8366.72
1526529600,8366.72,8381,8314.77,8314.77
1526533200,8314.77,8371.3,8275.45,8363.7
1526536800,8363.7,8382.41,8335.49,8344.16
1526540400,8344.16,8351,8191.14,8247.4
1526544000,8247.4,8292.99,8227.7,8277.4
1526547600,8277.4,8325.8,8264.13,8291.67
1526551200,8291.67,8318.99,8249.93,8307.89
1526554800,8307.89,8324.9,8269.52,8298.9
1526558400,8298.9,8335.56,8219.44,8269.47
1526562000,8269.47,8309.4,8262.68,8300.98
1526565600,8300.98,8377.29,8286.65,8318.49
1526569200,8318.49,8330.41,8289.87,8306.39
1526572800,8306.39,8328.23,8232.14,8276.43
1526576400,8276.43,8284.36,8232.14,8257.69
1526580000,8257.69,8274.83,8110.02,8166
1526583600,8166,8200,8154.95,8176.33
1526587200,8176.33,8232.14,8168.6,8200.7
1526590800,8200.7,8213.97,8151,8155.41
1526594400,8155.41,8155.41,7980,8080
1526598000,8080,8108.28,8005.95,8067.03
1526601600,8067.03,8068.92,7929.53,7958.08
1526605200,7958.08,8019.9,7931.03,7974.25
1526608800,7974.25,8026.66,7950,7998.5
1526612400,7998.5,8025,7980.58,7991.99
1526616000,7991.99,8104.69,7991.99,8022.7
1526619600,8022.7,8061.39,7992.75,8042.97
1526623200,8042.97,8045.99,7953.4,7965.67
1526626800,7965.67,8170.71,7965.67,8088.95
1526630400,8088.95,8144.16,8085.94,8122.19
1526634000,8122.19,8139.99,8078.48,8107.99
1526637600,8107.99,8152.99,8092.9,8137.73
1526641200,8137.73,8137.73,8049.22,8115
1526644800,8115,8143.72,8079.46,8107
1526648400,8107,8129.99,8062.12,8094.4
1526652000,8094.4,8106.76,8043.96,8080.01
1526655600,8080.01,8139,8063.1,8117.09
1526659200,8117.09,8152.04,8088.46,8126.99
1526662800,8126.99,8146.99,8094.43,8110.95
1526666400,8110.95,8232.14,8088.46,8215.39
1526670000,8215.39,8275.1,8191.14,8231.42
1526673600,8231.42,8256.12,8212,8240.13
1526677200,8240.13,8274.1,8224.5,8235
1526680800,8235,8255.8,8211,8219.9
1526684400,8219.9,8253.97,8211.01,8248.87
1526688000,8248.87,8261.09,8210.03,8213.5
1526691600,8213.5,8235.76,8158.27,8200.99
1526695200,8200.99,8227,8177.65,8200
1526698800,8200,8273.36,8179.41,8237.3
1526702400,8237.3,8264.21,8221.92,8228.13
1526706000,8228.13,8250,8217.32,8240.83
1526709600,8240.83,8250.86,8213.52,8214.9
1526713200,8214.9,8235.77,8141.08,8170.07
1526716800,8170.07,8232.12,8146.1,8229.87
1526720400,8229.87,8232.14,8186.03,8205.87
1526724000,8205.87,8252.72,8197.09,8252.56
1526727600,8252.56,8370,8231.21,8365
1526731200,8365,8395,8323.82,8348.65
1526734800,8348.65,8374.48,8296,8303.99
1526738400,8303.99,8331,8296.31,8310.48
1526742000,8310.48,8319.43,8282.65,8310
1526745600,8310,8323.4,8280,8289.87
1526749200,8289.87,8314.55,8273.36,8304.99
1526752800,8304.99,8330.62,8290.08,8301.35
1526756400,8301.35,8314.8,8277.93,8313.12
1526760000,8313.12,8323.99,8240.07,8240.07
1526763600,8240.07,8263.03,8191.14,8199.99
1526767200,8199.99,8247.78,8178,8226.98
1526770800,8226.98,8253.75,8193.7,8231.2
1526774400,8231.2,8237.89,8180,8198.89
1526778000,8198.89,8235,8170.71,8215.85
1526781600,8215.85,8279.99,8215.53,8279.99
1526785200,8279.99,8290,8240.02,8255.08
1526788800,8255.08,8278.71,8237.17,8270.4
1526792400,8270.4,8275.34,8237.17,8244.24
1526796000,8244.24,8279.31,8239.12,8239.12
1526799600,8239.12,8279.98,8227.79,8267.14
1526803200,8267.14,8294.04,8247.57,8282.27
1526806800,8282.27,8356.4,8274.24,8350.62
1526810400,8350.62,8374.94,8326.1,8336.6
1526814000,8336.6,8354.83,8320.61,8336.91
1526817600,8336.91,8360.45,8281.31,8311.21
1526821200,8311.21,8337.14,8269.85,8312.09
1526824800,8312.09,8351.97,8311.16,8345.19
1526828400,8345.19,8377.29,8336.11,8377.2
1526832000,8377.2,8549,8369.86,8481.11
1526835600,8481.11,8531.9,8471.51,8516.36
1526839200,8516.36,8551.79,8511,8524
1526842800,8524,8529.9,8476.66,8517.04
1526846400,8517.04,8590,8507.68,8558.5
1526850000,8558.5,8576.1,8509.24,8521.99
1526853600,8521.99,8549.89,8482.53,8484.93
1526857200,8484.93,8531.89,8484.93,8518.48
1526860800,8518.48,8550,8450,8488.99
1526864400,8488.99,8493.29,8434.47,8466.72
1526868000,8466.72,8522.98,8461.1,8492.55
1526871600,8492.55,8517,8481,8494.28
1526875200,8494.28,8537.29,8480,8510.95
1526878800,8510.95,8524.51,8488.1,8498.64
1526882400,8498.64,8589.1,8471.09,8551.1
1526886000,8551.1,8589.07,8509.2,8524.22
1526889600,8524.22,8536.92,8482.64,8510.11
1526893200,8510.11,8524.03,8469,8475.62
1526896800,8475.62,8497.8,8440.4,8476.58
1526900400,8476.58,8498,8440.52,8467.13
1526904000,8467.13,8513.5,8461.8,8499.84
1526907600,8499.84,8510,8480,8490.42
1526911200,8490.42,8494.7,8358.17,8407.09
1526914800,8407.09,8427.29,8380.73,8409.42
1526918400,8409.42,8419.03,8370,8400.96
1526922000,8400.96,8415.47,8383.12,8383.14
1526925600,8383.14,8389.99,8320,8350
1526929200,8350,8397.57,8349.17,8373.01
1526932800,8373.01,8455,8357.11,8412.8
1526936400,8412.8,8429.66,8370.58,8385.57
1526940000,8385.57,8412.61,8367.21,8408.53
1526943600,8408.53,8424,8376.99,8391.76
1526947200,8391.76,8417.65,8335.6,8367.36
1526950800,8367.36,8369.7,8252.72,8280.24
1526954400,8280.24,8326.5,8264.49,8297.91
1526958000,8297.91,8336.65,8282.59,8333.99
1526961600,8333.99,8333.99,8271.09,8285.29
1526965200,8285.29,8314.32,8261.52,8280
1526968800,8280,8355.97,8280,8317.02
1526972400,8317.02,8333.49,8297,8320.16
1526976000,8320.16,8325.6,8290,8295.9
1526979600,8295.9,8296.01,8220,8245.47
1526983200,8245.47,8264.98,8230.45,8264.98
1526986800,8264.98,8271.31,8180,8200
1526990400,8200,8200,8119.38,8170
1526994000,8170,8232.14,8170,8217
1526997600,8217,8246,8189.84,8231.63
1527001200,8231.63,8248.94,8210.76,8232.8
1527004800,8232.8,8259.95,8212.68,8225.38
1527008400,8225.38,8242.49,8200,8200.01
1527012000,8200.01,8232.04,8186,8219.98
1527015600,8219.98,8230.9,8161.77,8187.98
1527019200,8187.98,8205,8063.15,8100.32
1527022800,8100.32,8118.98,8050.01,8076.99
1527026400,8076.99,8103.07,7951.41,7964.73
1527030000,7964.73,8040.95,7964.73,7984.08
1527033600,7984.08,8032.01,7949.35,7949.35
1527037200,7949.35,7960.25,7861.32,7900.61
1527040800,7900.61,7920,7865,7895.5
1527044400,7895.5,7960,7886.48,7960
1527048000,7960,7960,7870.35,7900
1527051600,7900,7935,7885.2,7921.99
1527055200,7921.99,7960.99,7896.41,7943.07
1527058800,7943.07,7951.38,7811.62,7856.37
1527062400,7856.37,7888.92,7808.05,7848.3
1527066000,7848.3,7870,7808,7852.68
1527069600,7852.68,7909.75,7836.79,7847.1
1527073200,7847.1,7882.27,7801.02,7849.31
1527076800,7849.31,7949.27,7847.36,7911.83
1527080400,7911.83,7944.73,7883,7901.01
1527084000,7901.01,7916.48,7850.72,7887
1527087600,7887,7906,7676.27,7710.02
1527091200,7710.02,7719.37,7553.6,7625.38
1527094800,7625.38,7637.06,7435.49,7516.28
1527098400,7516.28,7563.5,7450.1,7495.31
1527102000,7495.31,7635.13,7495.31,7590.34
1527105600,7590.34,7649,7516.97,7596.24
1527109200,7596.24,7641.49,7561.72,7640.23
1527112800,7640.23,7653.56,7543.4,7562.1
1527116400,7562.1,7582.97,7468.31,7502.89
1527120000,7502.89,7613.19,7502.89,7584.1
1527123600,7584.1,7654,7573.92,7601.65
1527127200,7601.65,7631.44,7563.71,7584.02
1527130800,7584.02,7654.44,7573.34,7613.52
1527134400,7613.52,7733.99,7613.52,7733.99
1527138000,7733.99,7733.99,7656.9,7691.78
1527141600,7691.78,7709.12,7627.52,7650.22
1527145200,7650.22,7680.92,7526.94,7567.1
1527148800,7567.1,7571.62,7375.65,7411.24
1527152400,7411.24,7426,7267.24,7373.51
1527156000,7373.51,7412.57,7296.98,7354
1527159600,7354,7410.73,7339.5,7375.56
1527163200,7375.56,7543.27,7284.14,7508.78
1527166800,7508.78,7542.92,7472.81,7499.94
1527170400,7499.94,7575,7456.5,7508
1527174000,7508,7578,7490.16,7566.92
1527177600,7566.92,7567.93,7483.2,7518.99
1527181200,7518.99,7544.47,7450.01,7524.49
1527184800,7524.49,7608.51,7487.34,7586.42
1527188400,7586.42,7635,7562.12,7585.48
1527192000,7585.48,7585.48,7511.27,7550
1527195600,7550,7567.57,7486.98,7538.55
1527199200,7538.55,7597,7510.6,7584.99
1527202800,7584.99,7624.94,7543.27,7586.88
1527206400,7586.88,7588.56,7524.47,7560.55
1527210000,7560.55,7575.97,7508.74,7563.99
1527213600,7563.99,7661.07,7557.03,7632.98
1527217200,7632.98,7639,7572.25,7600.8
1527220800,7600.8,7620.31,7562.32,7588.75
1527224400,7588.75,7644.98,7579.4,7625.99
1527228000,7625.99,7657.13,7476.11,7510.95
1527231600,7510.95,7526.16,7380,7421.99
1527235200,7421.99,7468.31,7388,7466
1527238800,7466,7468.3,7395.32,7419.99
1527242400,7419.99,7468.31,7328.13,7362.71
1527246000,7362.71,7490,7328.14,7456.83
1527249600,7456.83,7543.27,7448.32,7509
1527253200,7509,7510.79,7464.37,7482.99
1527256800,7482.99,7518.6,7462.92,7477.73
1527260400,7477.73,7522.06,7415.2,7500
1527264000,7500,7509.7,7452.92,7479.95
1527267600,7479.95,7486.43,7408.75,7426.2
1527271200,7426.2,7453.46,7400.01,7424.27
1527274800,7424.27,7445.19,7361.85,7427.02
1527278400,7427.02,7464.52,7401.54,7455.49
1527282000,7455.49,7455.67,7413.03,7441.7
1527285600,7441.7,7450,7360.5,7405.44
1527289200,7405.44,7505.99,7379.38,7471.18
1527292800,7471.18,7471.18,7420.28,7441.94
1527296400,7441.94,7471.96,7422.08,7447.69
1527300000,7447.69,7453.1,7413.4,7426.68
1527303600,7426.68,7447.51,7417.63,7447.51
1527307200,7447.51,7447.51,7375.65,7392.19
1527310800,7392.19,7447.39,7370.01,7445.7
1527314400,7445.7,7447.4,7406.09,7422.96
1527318000,7422.96,7622.87,7410.91,7550.15
1527321600,7550.15,7569.87,7524.46,7541.17
1527325200,7541.17,7570,7532.55,7545
