unix,open,high,low,close
1602712800,11382.32,11420,11382.32,11401.81
1602716400,11400.5,11443.26,11388.52,11428.84
1602720000,11430.49,11431.59,11396.79,11399.17
1602723600,11402.78,11424.67,11374.88,11398.02
1602727200,11393.47,11409.94,11367.07,11371.43
1602730800,11366.45,11390.25,11364.34,11386.11
1602734400,11386.05,11414.83,11373.02,11395.62
1602738000,11395.62,11416.32,11379.15,11411.6
1602741600,11406,11430.69,11385.42,11406.17
1602745200,11406.37,11415.36,11382.54,11405.19
1602748800,11401.99,11409.82,11336.89,11352.75
1602752400,11343.59,11350.97,11250.01,11312.32
1602756000,11309.93,11348.51,11305.67,11334.74
1602759600,11334.94,11360.81,11308.36,11317.62
1602763200,11314.1,11403.1,11278.3,11380.22
1602766800,11381.57,11423,11360.24,11410.52
1602770400,11410.52,11410.52,11364.71,11396.41
1602774000,11392,11423.62,11379.17,11410.42
1602777600,11405.63,11486.17,11373,11389.75
1602781200,11389.76,11488.19,11387.86,11474.03
1602784800,11475.65,11499.26,11460,11476.07
1602788400,11479.89,11543.78,11479.89,11532.98
1602792000,11537.52,11623.6,11527.71,11547.45
1602795600,11545.9,11547.45,11455.23,11500.84
1602799200,11503.24,11525.53,11484.92,11484.99
1602802800,11485.01,11517.68,11480,11511.11
1602806400,11506.53,11518.53,11474.7,11510.21
1602810000,11516.47,11547.96,11514.21,11538.2
1602813600,11540.72,11548.65,11516.92,11525.1
1602817200,11528.47,11540.01,11492.83,11515.38
1602820800,11514.91,11517.61,11200,11275.51
1602824400,11272.94,11368.94,11272.94,11349.09
1602828000,11349,11365.64,11316.2,11339.75
1602831600,11330.91,11348.44,11313.6,11317.39
1602835200,11317.16,11350,11305.68,11310.3
1602838800,11307.83,11307.83,11219.61,11254.91
1602842400,11256.2,11334.91,11248.55,11305.97
1602846000,11307.55,11401.22,11304.04,11370.63
1602849600,11375.25,11401.98,11346.35,11374.78
1602853200,11375.45,11392.35,11335.31,11353
1602856800,11360.93,11393.04,11318.67,11336.92
1602860400,11336.56,11343.9,11283.37,11337.45
1602864000,11339.26,11358.96,11312.44,11347.81
1602867600,11348.27,11362.14,11325.14,11340.62
1602871200,11343.24,11379.98,11339.58,11373.96
1602874800,11376.91,11379.48,11320.85,11320.85
1602878400,11319,11327.72,11282.72,11319.93
1602882000,11317.77,11348.51,11303.27,11340.07
1602885600,11348.51,11359.65,11326.47,11351.75
1602889200,11355.32,11360.55,11313.13,11321.86
1602892800,11331.88,11333.59,11266.18,11306.1
1602896400,11307.74,11353.84,11296.87,11334.76
1602900000,11334.9,11355.65,11324.6,11351.64
1602903600,11352.53,11375.71,11327.25,11368.7
